distance_to_next,nominal_speed,historical_section_time,current_delay,current_speed,historical_delay,dwell_time,remaining_stops,time_of_day_hour,day_of_week,congestion_level,event_severity,speed_restriction,weather_severity,rainfall,visibility,preceding_train_delay,additional_delay
40.3,105.2,23.0,5.0,89.2,-3.8,11.8,15,1,0,0.1,0,0,0,0.0,10.0,0.0,1.8
115.4,73.9,93.8,1.8,68.4,7.6,15.7,8,7,0,0.35,2,50,0,0.0,10.0,0.0,35.8
114.8,98.0,70.3,4.9,107.8,0.6,7.2,6,10,1,0.45,2,0,3,43.2,3.4,5.0,39.5
128.6,112.6,68.5,29.7,83.3,5.7,5.1,5,16,0,0.61,1,0,0,0.0,10.0,12.1,15.3
113.7,119.1,57.3,40.6,89.5,5.8,5.0,15,18,3,0.64,0,0,3,25.1,2.8,4.5,20.1
88.7,69.4,76.7,0.8,64.5,-3.2,3.0,14,5,5,0.19,0,0,0,0.0,10.0,0.0,-1.1
113.8,88.6,77.1,6.5,75.2,8.2,5.0,5,23,3,0.3,1,0,1,0.0,0.4,0.0,21.6
216.5,76.2,170.4,70.9,45.6,-2.5,8.5,1,23,5,0.25,0,75,0,0.0,10.0,0.0,1.5
227.7,89.8,152.2,14.0,71.1,-4.3,4.8,7,9,3,0.74,0,0,1,0.0,0.6,4.3,16.7
130.4,95.1,82.3,17.7,84.0,-1.8,3.7,5,1,4,0.37,2,0,0,0.0,10.0,0.0,16.8
157.3,70.1,134.5,0.1,67.6,1.4,5.0,8,14,3,0.35,0,0,0,0.0,10.0,0.0,3.9
45.4,81.3,33.5,11.9,71.9,4.2,2.3,11,22,1,0.7,0,0,3,40.0,3.7,3.1,19.3
89.8,116.0,46.4,80.1,59.7,-1.1,3.0,9,21,1,0.94,0,0,0,0.0,10.0,1.7,5.7
111.3,96.3,69.3,8.5,105.1,8.0,3.0,5,13,5,0.43,2,0,0,0.0,10.0,30.9,30.1
210.6,90.2,140.1,1.8,77.5,5.0,3.5,14,12,6,0.48,0,0,0,0.0,10.0,8.6,7.5
75.1,106.4,42.3,11.2,104.7,-0.7,3.8,8,20,0,0.4,0,0,0,0.0,10.0,1.9,5.0
126.3,105.8,71.6,59.3,69.3,8.8,3.0,14,16,6,0.4,0,0,0,0.0,10.0,0.0,-2.2
236.8,67.7,210.0,7.5,70.2,10.5,3.0,2,10,3,0.87,0,50,2,74.1,2.4,0.7,56.5
134.3,104.0,77.5,28.9,101.9,2.9,11.6,15,1,3,0.3,2,50,0,0.0,10.0,0.0,59.5
154.8,111.2,83.6,28.9,88.6,2.2,3.0,3,20,5,0.79,0,0,0,0.0,10.0,0.2,8.7
46.5,74.1,37.7,4.2,58.6,-7.1,2.0,10,15,5,0.16,4,50,0,0.0,10.0,0.0,51.5
201.8,108.0,112.2,10.5,110.9,1.1,2.0,4,1,3,0.23,3,0,1,0.0,1.0,0.0,35.3
152.7,80.8,113.4,22.6,88.6,1.8,5.0,2,19,6,0.35,0,30,1,0.0,0.9,0.0,46.7
139.9,81.9,102.6,9.5,82.1,5.0,5.4,3,7,1,0.54,3,0,0,0.0,10.0,1.0,33.1
95.4,101.6,56.3,3.8,101.7,2.5,15.0,7,3,1,0.21,4,75,1,0.0,0.7,0.0,65.1
86.9,71.1,73.3,61.7,59.4,5.0,10.0,5,20,3,0.16,3,0,0,0.0,10.0,0.0,36.5
111.7,101.6,66.0,18.9,101.6,12.7,5.5,15,9,0,0.54,0,0,0,0.0,10.0,8.6,9.5
169.9,113.8,89.5,36.1,88.0,0.3,3.1,3,22,5,0.23,0,0,2,59.1,3.9,0.0,9.3
212.6,103.3,123.5,0.5,96.3,0.6,3.0,9,11,6,0.28,0,0,0,0.0,10.0,0.0,1.1
132.3,89.2,89.0,5.6,92.7,-4.4,8.3,9,5,0,0.15,1,0,1,0.0,1.0,0.0,20.3
167.2,89.1,112.6,12.6,83.3,3.4,3.0,4,10,1,0.45,0,50,2,42.3,2.7,1.0,50.9
148.9,107.1,83.4,1.3,117.8,9.4,2.3,4,23,4,0.45,0,50,0,0.0,10.0,4.1,36.6
157.5,96.1,98.3,89.4,55.0,-7.0,6.1,11,4,3,0.32,0,0,1,0.0,0.8,0.0,1.8
168.4,69.7,145.1,4.9,73.5,-0.5,3.2,8,19,6,0.69,0,0,0,0.0,10.0,4.9,5.3
205.3,97.0,126.9,8.4,97.1,3.7,3.0,10,14,1,0.19,0,30,0,0.0,10.0,0.0,35.7
38.3,109.8,20.9,4.3,106.5,8.6,15.2,10,12,3,0.36,0,0,3,43.3,2.0,0.0,14.5
188.0,83.5,135.0,2.0,91.9,5.8,2.0,10,4,1,0.76,0,0,1,0.0,0.6,0.8,18.9
73.6,116.0,38.1,4.8,121.7,5.5,3.2,14,5,1,0.46,0,0,0,0.0,10.0,9.3,5.0
62.7,106.3,35.4,6.4,92.9,2.2,2.0,10,22,2,0.46,0,0,2,17.0,3.3,1.5,10.0
145.9,96.6,90.7,18.1,95.8,6.4,10.0,13,20,4,0.37,0,0,0,0.0,10.0,0.0,-2.0
41.1,106.3,23.2,5.9,117.0,9.6,10.3,4,0,6,0.5,0,30,0,0.0,10.0,4.0,26.1
214.8,69.4,185.8,8.1,66.2,-6.8,2.0,10,15,1,0.64,0,0,0,0.0,10.0,13.6,7.2
158.0,112.3,84.4,0.1,109.4,7.9,15.0,1,16,2,0.32,0,30,0,0.0,10.0,0.0,35.1
179.2,110.2,97.6,8.2,99.2,2.9,5.0,9,0,1,0.31,2,0,0,0.0,10.0,0.0,26.0
23.5,115.0,12.3,13.7,108.6,0.3,5.4,11,16,2,0.29,0,30,0,0.0,10.0,0.0,17.3
150.8,72.1,125.5,3.2,76.1,-11.2,10.1,11,1,5,0.29,2,0,0,0.0,10.0,0.0,15.5
142.5,69.5,123.0,16.4,59.3,-4.8,10.0,8,20,2,0.81,0,30,0,0.0,10.0,10.8,43.0
55.0,72.6,45.4,6.2,61.0,13.7,4.5,15,7,6,0.67,3,50,0,0.0,10.0,4.3,48.3
53.7,87.0,37.0,18.0,77.4,-0.6,5.0,15,0,4,0.21,0,0,0,0.0,10.0,0.0,-4.5
173.0,88.3,117.5,0.5,76.0,-3.0,7.3,12,1,3,0.2,2,0,1,0.0,0.9,0.0,30.2
90.1,95.9,56.4,39.3,85.8,0.8,2.4,9,12,3,0.16,0,0,0,0.0,10.0,0.0,-6.1
172.2,71.7,144.1,0.3,68.6,-1.0,2.1,10,13,6,0.19,3,0,0,0.0,10.0,0.0,33.4
142.0,76.1,112.0,2.4,62.0,4.2,3.0,7,2,2,0.4,4,0,0,0.0,10.0,4.8,49.1
105.6,109.6,57.8,27.0,94.0,12.6,3.4,8,23,1,0.36,0,0,0,0.0,10.0,0.0,6.1
223.5,90.7,147.8,0.8,88.7,-0.0,3.3,13,11,4,0.49,2,0,0,0.0,10.0,13.0,27.4
205.2,109.4,112.5,22.3,104.6,4.4,15.0,14,18,6,0.35,0,0,0,0.0,10.0,0.0,-1.0
98.6,65.4,90.5,63.8,47.8,-3.4,4.0,3,8,4,0.57,1,30,0,0.0,10.0,0.8,41.6
29.6,95.3,18.6,37.0,99.1,12.6,5.0,6,3,5,0.11,3,30,0,0.0,10.0,0.0,52.1
87.0,116.3,44.9,22.3,99.9,4.6,2.0,15,4,4,0.01,3,75,0,0.0,10.0,0.0,44.9
107.6,97.0,66.5,57.3,74.2,-3.0,15.0,5,20,1,0.44,0,75,0,0.0,10.0,11.0,11.7
175.1,76.3,137.6,10.1,72.5,8.9,5.3,14,4,3,0.14,0,75,0,0.0,10.0,0.0,4.9
239.0,104.5,137.2,37.1,86.0,10.7,2.9,3,11,4,0.01,1,75,0,0.0,10.0,0.0,34.5
98.3,85.8,68.7,7.9,84.3,4.5,3.8,8,12,3,0.5,1,50,0,0.0,10.0,16.3,36.2
187.8,101.8,110.7,47.8,87.8,-6.3,11.2,13,10,5,0.78,0,0,1,0.0,1.2,9.1,11.3
150.5,66.6,135.6,2.9,73.3,14.2,10.8,13,21,3,0.79,4,0,0,0.0,10.0,4.9,57.8
172.2,100.0,103.3,50.7,64.0,5.4,4.1,14,21,1,0.79,0,0,3,57.8,3.2,4.2,29.4
53.2,66.8,47.8,32.2,54.8,10.5,3.7,6,2,0,0.31,0,75,0,0.0,10.0,0.0,5.6
107.8,106.0,61.0,33.7,86.9,0.2,2.9,11,20,3,0.93,0,75,2,20.0,3.3,3.9,31.4
73.0,91.0,48.1,2.4,98.7,1.1,5.0,11,10,4,0.59,0,30,0,0.0,10.0,13.9,44.4
95.6,71.7,80.0,16.3,64.5,4.2,10.0,4,16,5,0.29,2,0,0,0.0,10.0,0.0,17.1
